Race Date,Race Time,Meeting,Horse Name
2025-04-16,3:50,HAP,A Moments Madness
2025-04-16,6:15,FFO,A Scoop Or Two
2025-04-16,1:40,BEV,Academe
2025-04-16,2:32,GOW,Accolade Start
2025-04-16,1:40,HAP,Ace Talent
2025-04-16,11:40,HAP,Adoon Valley
2025-04-16,3:25,BEV,Aestheticism
2025-04-16,3:50,HAP,Airtothethrone
2025-04-16,7:15,FFO,Ajp Kingdom
2025-04-16,3:15,CHL,Akimos
2025-04-16,4:37,FFO,Al Khawssaa
2025-04-16,3:25,BEV,Al Misbar
2025-04-16,1:50,NMK,Albegone
2025-04-16,2:50,BEV,Ali Shuffle
2025-04-16,1:40,BEV,Alnayazek
2025-04-16,2:25,NMK,Altareq
2025-04-16,2:25,NMK,Amazing Award
2025-04-16,12:40,HAP,American Sniper
2025-04-16,2:05,CHL,Amplitude
2025-04-16,2:32,GOW,Anaisa
2025-04-16,1:40,BEV,Angel Harry
2025-04-16,2:32,GOW,Angel Shared
2025-04-16,2:50,BEV,Annalee Lass
2025-04-16,5:37,BEV,Another Lord
2025-04-16,7:15,FFO,Aomori City
2025-04-16,3:35,NMK,Apollo One
2025-04-16,3:00,NMK,Arclight
2025-04-16,5:00,CHL,Arctic Steps
2025-04-16,2:32,GOW,Ardlena
2025-04-16,3:07,GOW,Argentine Tango
2025-04-16,1:40,BEV,Arkinthestars
2025-04-16,3:25,BEV,Art Of Diplomacy
2025-04-16,6:15,FFO,Arthur's Kingdom
2025-04-16,12:10,HAP,Ashington
2025-04-16,5:00,CHL,Ask Brewster
2025-04-16,3:15,CHL,Aston Value
2025-04-16,2:32,GOW,Astronomica
2025-04-16,5:37,BEV,Atomic Beauty
2025-04-16,1:40,HAP,Autocrat
2025-04-16,5:27,GOW,Azure Angel
2025-04-16,2:15,BEV,Back On The Lash
2025-04-16,3:15,CHL,Bahadur
2025-04-16,4:45,NMK,Ballytechno
2025-04-16,2:05,CHL,Ballywilliam Boy
2025-04-16,5:00,CHL,Bampton Star
2025-04-16,7:15,FFO,Barretstown
2025-04-16,4:52,GOW,Bay Dream Believer
2025-04-16,5:37,BEV,Beautiful Dawn
2025-04-16,5:37,BEV,Bective Abbey
2025-04-16,6:45,FFO,Belgrave
2025-04-16,1:50,NMK,Beltadaay
2025-04-16,5:07,BEV,Benevento
2025-04-16,3:35,NMK,Berkshire Smudge
2025-04-16,5:07,BEV,Bhaloo
2025-04-16,2:40,CHL,Big Boy Bobby
2025-04-16,5:00,CHL,Blazing Spirit
2025-04-16,4:10,NMK,Block Rockin Beats
2025-04-16,1:30,CHL,Blow Your Wad
